"短期大学の所在地","平成27年(2015年)計","平成27年(2015年)男","平成27年(2015年)女","平成26年(2014年)","平成25年(2013年)","平成24年(2012年)","平成23年(2011年)","平成22年(2010年)","平成21年(2009年)","平成20年(2008年)","平成19年(2007年)","平成18年(2006年)","平成17年(2005年)"
"徳島","0.0","0.0","0.0","1.0","0.0","1.0","0.0","2.0","4.0","3.0","4.0","0.0","4.0"
"香川","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"愛媛","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"高知","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"福岡","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0"
"佐賀","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"長崎","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"熊本","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"大分","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","2.0","1.0","1.0"
"宮崎","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0"
"鹿児島","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"沖縄","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"(＊参考)短大進学者","560.0","32.0","528.0","535.0","558.0","531.0","612.0","597.0","645.0","659.0","774.0","803.0","943.0"
